instance pattern_n pattern_d target_n target_d
g26-g88 80 0.160759 1057 0.0144348
g26-g89 80 0.160759 1092 0.00733272
g26-g90 80 0.160759 1430 0.00979706
g26-g91 80 0.160759 1446 0.00605321
g26-g92 80 0.160759 1619 0.0053704
g26-g94 80 0.160759 1860 0.00646665
g26-g95 80 0.160759 2000 0.0013967
g26-g96 80 0.160759 2000 0.00165783
g26-g97 80 0.160759 2000 0.00168584
g26-g98 80 0.160759 2000 0.00257429
g26-g99 80 0.160759 2000 0.00257629
g27-g100 86 0.218878 2016 0.00196936
g27-g101 86 0.218878 2184 0.00549702
g27-g102 86 0.218878 2184 0.00732936
g27-g103 86 0.218878 2184 0.010994
g27-g104 86 0.218878 3300 0.00242351
g27-g105 86 0.218878 3317 0.00240636
g27-g106 86 0.218878 4493 0.00269916
g27-g107 86 0.218878 4494 0.00194378
g27-g108 86 0.218878 4866 0.00183162
g27-g109 86 0.218878 5040 0.00238142
g27-g110 86 0.218878 5448 0.00486668
g27-g111 86 0.218878 5757 0.00170623
g27-g112 86 0.218878 6671 0.00126449
g27-g51 86 0.218878 138 0.104306
g27-g52 86 0.218878 161 0.0552795
g27-g53 86 0.218878 168 0.11919
g27-g54 86 0.218878 256 0.0576593
g27-g55 86 0.218878 256 0.0589461
g27-g56 86 0.218878 256 0.0612745
g27-g57 86 0.218878 280 0.0031234
g27-g61 86 0.218878 331 0.0340566
g27-g62 86 0.218878 377 0.027146
g27-g63 86 0.218878 400 0.0716792
g27-g64 86 0.218878 400 0.249624
g27-g65 86 0.218878 435 0.0533927
g27-g67 86 0.218878 462 0.0260304
g27-g68 86 0.218878 462 0.130152
g27-g69 86 0.218878 500 0.0237114
g27-g70 86 0.218878 501 0.0120719
g27-g71 86 0.218878 501 0.0239042
g27-g72 86 0.218878 561 0.00187166
g27-g74 86 0.218878 585 0.0143777
g27-g75 86 0.218878 610 0.0800883
g27-g76 86 0.218878 610 0.381868
g27-g77 86 0.218878 610 0.888982
g27-g78 86 0.218878 627 0.0361272
g27-g79 86 0.218878 763 0.0130855
g27-g80 86 0.218878 891 0.00160406
g27-g81 86 0.218878 1010 0.0235269
g27-g83 86 0.218878 1024 0.0195503
g27-g84 86 0.218878 1024 0.234604
g27-g85 86 0.218878 1050 0.0057161
g27-g87 86 0.218878 1057 0.0127612
g27-g88 86 0.218878 1057 0.0144348
g27-g89 86 0.218878 1092 0.00733272
g27-g90 86 0.218878 1430 0.00979706
g27-g91 86 0.218878 1446 0.00605321
g27-g92 86 0.218878 1619 0.0053704
g27-g94 86 0.218878 1860 0.00646665
g27-g95 86 0.218878 2000 0.0013967
g27-g96 86 0.218878 2000 0.00165783
g27-g97 86 0.218878 2000 0.00168584
g27-g98 86 0.218878 2000 0.00257429
g27-g99 86 0.218878 2000 0.00257629
g28-g100 97 0.0395189 2016 0.00196936
g28-g101 97 0.0395189 2184 0.00549702
g28-g102 97 0.0395189 2184 0.00732936
g28-g103 97 0.0395189 2184 0.010994
g28-g104 97 0.0395189 3300 0.00242351
g28-g105 97 0.0395189 3317 0.00240636
g28-g106 97 0.0395189 4493 0.00269916
g28-g107 97 0.0395189 4494 0.00194378
g28-g108 97 0.0395189 4866 0.00183162
g28-g109 97 0.0395189 5040 0.00238142
g28-g110 97 0.0395189 5448 0.00486668
g28-g111 97 0.0395189 5757 0.00170623
g28-g112 97 0.0395189 6671 0.00126449
g28-g51 97 0.0395189 138 0.104306
g28-g52 97 0.0395189 161 0.0552795
g28-g53 97 0.0395189 168 0.11919
g28-g54 97 0.0395189 256 0.0576593
g28-g55 97 0.0395189 256 0.0589461
g28-g56 97 0.0395189 256 0.0612745
g28-g57 97 0.0395189 280 0.0031234
g28-g61 97 0.0395189 331 0.0340566
g28-g62 97 0.0395189 377 0.027146
g28-g63 97 0.0395189 400 0.0716792
g28-g64 97 0.0395189 400 0.249624
g28-g65 97 0.0395189 435 0.0533927
g28-g67 97 0.0395189 462 0.0260304
g28-g68 97 0.0395189 462 0.130152
g28-g69 97 0.0395189 500 0.0237114
g28-g70 97 0.0395189 501 0.0120719
g28-g71 97 0.0395189 501 0.0239042
g28-g72 97 0.0395189 561 0.00187166
g28-g74 97 0.0395189 585 0.0143777
g28-g75 97 0.0395189 610 0.0800883
g28-g76 97 0.0395189 610 0.381868
g28-g77 97 0.0395189 610 0.888982
g28-g78 97 0.0395189 627 0.0361272
g28-g79 97 0.0395189 763 0.0130855
g28-g80 97 0.0395189 891 0.00160406
g28-g81 97 0.0395189 1010 0.0235269
g28-g83 97 0.0395189 1024 0.0195503
g28-g84 97 0.0395189 1024 0.234604
g28-g85 97 0.0395189 1050 0.0057161
g28-g87 97 0.0395189 1057 0.0127612
g28-g88 97 0.0395189 1057 0.0144348
g28-g89 97 0.0395189 1092 0.00733272
g28-g90 97 0.0395189 1430 0.00979706
g28-g91 97 0.0395189 1446 0.00605321
g28-g92 97 0.0395189 1619 0.0053704
g28-g94 97 0.0395189 1860 0.00646665
g28-g95 97 0.0395189 2000 0.0013967
g28-g96 97 0.0395189 2000 0.00165783
g28-g97 97 0.0395189 2000 0.00168584
g28-g98 97 0.0395189 2000 0.00257429
g28-g99 97 0.0395189 2000 0.00257629
g29-g100 100 0.366061 2016 0.00196936
g29-g101 100 0.366061 2184 0.00549702
g29-g102 100 0.366061 2184 0.00732936
g29-g103 100 0.366061 2184 0.010994
g29-g104 100 0.366061 3300 0.00242351
g29-g105 100 0.366061 3317 0.00240636
g29-g106 100 0.366061 4493 0.00269916
g29-g107 100 0.366061 4494 0.00194378
g29-g108 100 0.366061 4866 0.00183162
g29-g109 100 0.366061 5040 0.00238142
g29-g110 100 0.366061 5448 0.00486668
g29-g111 100 0.366061 5757 0.00170623
g29-g112 100 0.366061 6671 0.00126449
g29-g51 100 0.366061 138 0.104306
g29-g52 100 0.366061 161 0.0552795
g29-g53 100 0.366061 168 0.11919
g29-g54 100 0.366061 256 0.0576593
g29-g55 100 0.366061 256 0.0589461
g29-g56 100 0.366061 256 0.0612745
g29-g57 100 0.366061 280 0.0031234
g29-g61 100 0.366061 331 0.0340566
g29-g62 100 0.366061 377 0.027146
g29-g63 100 0.366061 400 0.0716792
g29-g64 100 0.366061 400 0.249624
g29-g65 100 0.366061 435 0.0533927
g29-g67 100 0.366061 462 0.0260304
g29-g68 100 0.366061 462 0.130152
g29-g69 100 0.366061 500 0.0237114
g29-g70 100 0.366061 501 0.0120719
g29-g71 100 0.366061 501 0.0239042
g29-g72 100 0.366061 561 0.00187166
g29-g74 100 0.366061 585 0.0143777
g29-g75 100 0.366061 610 0.0800883
g29-g76 100 0.366061 610 0.381868
g29-g77 100 0.366061 610 0.888982
g29-g78 100 0.366061 627 0.0361272
g29-g79 100 0.366061 763 0.0130855
g29-g80 100 0.366061 891 0.00160406
g29-g81 100 0.366061 1010 0.0235269
g29-g83 100 0.366061 1024 0.0195503
g29-g84 100 0.366061 1024 0.234604
g29-g85 100 0.366061 1050 0.0057161
g29-g87 100 0.366061 1057 0.0127612
g29-g88 100 0.366061 1057 0.0144348
g29-g89 100 0.366061 1092 0.00733272
g29-g90 100 0.366061 1430 0.00979706
g29-g91 100 0.366061 1446 0.00605321
g29-g92 100 0.366061 1619 0.0053704
g29-g94 100 0.366061 1860 0.00646665
g29-g95 100 0.366061 2000 0.0013967
g29-g96 100 0.366061 2000 0.00165783
g29-g97 100 0.366061 2000 0.00168584
g29-g98 100 0.366061 2000 0.00257429
g29-g99 100 0.366061 2000 0.00257629
g3-g100 10 0.666667 2016 0.00196936
g3-g101 10 0.666667 2184 0.00549702
g3-g102 10 0.666667 2184 0.00732936
g3-g103 10 0.666667 2184 0.010994
g3-g104 10 0.666667 3300 0.00242351
g3-g105 10 0.666667 3317 0.00240636
g3-g106 10 0.666667 4493 0.00269916
g3-g107 10 0.666667 4494 0.00194378
g3-g108 10 0.666667 4866 0.00183162
g3-g109 10 0.666667 5040 0.00238142
g3-g110 10 0.666667 5448 0.00486668
g3-g111 10 0.666667 5757 0.00170623
g3-g112 10 0.666667 6671 0.00126449
g3-g51 10 0.666667 138 0.104306
g3-g52 10 0.666667 161 0.0552795
g3-g53 10 0.666667 168 0.11919
g3-g54 10 0.666667 256 0.0576593
g3-g55 10 0.666667 256 0.0589461
g3-g56 10 0.666667 256 0.0612745
g3-g57 10 0.666667 280 0.0031234
g3-g61 10 0.666667 331 0.0340566
g3-g62 10 0.666667 377 0.027146
g3-g63 10 0.666667 400 0.0716792
g3-g64 10 0.666667 400 0.249624
g3-g65 10 0.666667 435 0.0533927
g3-g67 10 0.666667 462 0.0260304
g3-g68 10 0.666667 462 0.130152
g3-g69 10 0.666667 500 0.0237114
g3-g70 10 0.666667 501 0.0120719
g3-g71 10 0.666667 501 0.0239042
g3-g72 10 0.666667 561 0.00187166
g3-g74 10 0.666667 585 0.0143777
g3-g75 10 0.666667 610 0.0800883
g3-g76 10 0.666667 610 0.381868
g3-g77 10 0.666667 610 0.888982
g3-g78 10 0.666667 627 0.0361272
g3-g79 10 0.666667 763 0.0130855
g3-g80 10 0.666667 891 0.00160406
g3-g81 10 0.666667 1010 0.0235269
g3-g83 10 0.666667 1024 0.0195503
g3-g84 10 0.666667 1024 0.234604
g3-g85 10 0.666667 1050 0.0057161
g3-g87 10 0.666667 1057 0.0127612
g3-g88 10 0.666667 1057 0.0144348
g3-g89 10 0.666667 1092 0.00733272
g3-g90 10 0.666667 1430 0.00979706
g3-g91 10 0.666667 1446 0.00605321
g3-g92 10 0.666667 1619 0.0053704
g3-g94 10 0.666667 1860 0.00646665
g3-g95 10 0.666667 2000 0.0013967
g3-g96 10 0.666667 2000 0.00165783
g3-g97 10 0.666667 2000 0.00168584
g3-g98 10 0.666667 2000 0.00257429
g3-g99 10 0.666667 2000 0.00257629
g30-g100 100 0.364848 2016 0.00196936
g30-g101 100 0.364848 2184 0.00549702
g30-g102 100 0.364848 2184 0.00732936
g30-g103 100 0.364848 2184 0.010994
g30-g104 100 0.364848 3300 0.00242351
g30-g105 100 0.364848 3317 0.00240636
g30-g106 100 0.364848 4493 0.00269916
g30-g107 100 0.364848 4494 0.00194378
g30-g108 100 0.364848 4866 0.00183162
g30-g109 100 0.364848 5040 0.00238142
g30-g110 100 0.364848 5448 0.00486668
g30-g111 100 0.364848 5757 0.00170623
g30-g112 100 0.364848 6671 0.00126449
g30-g51 100 0.364848 138 0.104306
g30-g52 100 0.364848 161 0.0552795
g30-g53 100 0.364848 168 0.11919
g30-g54 100 0.364848 256 0.0576593
g30-g55 100 0.364848 256 0.0589461
g30-g56 100 0.364848 256 0.0612745
g30-g57 100 0.364848 280 0.0031234
g30-g61 100 0.364848 331 0.0340566
g30-g62 100 0.364848 377 0.027146
g30-g63 100 0.364848 400 0.0716792
g30-g64 100 0.364848 400 0.249624
g30-g65 100 0.364848 435 0.0533927
g30-g67 100 0.364848 462 0.0260304
g30-g68 100 0.364848 462 0.130152
g30-g69 100 0.364848 500 0.0237114
g30-g70 100 0.364848 501 0.0120719
g30-g71 100 0.364848 501 0.0239042
g30-g72 100 0.364848 561 0.00187166
g30-g74 100 0.364848 585 0.0143777
g30-g75 100 0.364848 610 0.0800883
g30-g76 100 0.364848 610 0.381868
g30-g77 100 0.364848 610 0.888982
g30-g78 100 0.364848 627 0.0361272
g30-g79 100 0.364848 763 0.0130855
g30-g80 100 0.364848 891 0.00160406
g30-g81 100 0.364848 1010 0.0235269
g30-g83 100 0.364848 1024 0.0195503
g30-g84 100 0.364848 1024 0.234604
g30-g85 100 0.364848 1050 0.0057161
g30-g87 100 0.364848 1057 0.0127612
g30-g88 100 0.364848 1057 0.0144348
g30-g89 100 0.364848 1092 0.00733272
g30-g90 100 0.364848 1430 0.00979706
g30-g91 100 0.364848 1446 0.00605321
g30-g92 100 0.364848 1619 0.0053704
g30-g94 100 0.364848 1860 0.00646665
g30-g95 100 0.364848 2000 0.0013967
g30-g96 100 0.364848 2000 0.00165783
g30-g97 100 0.364848 2000 0.00168584
g30-g98 100 0.364848 2000 0.00257429
g30-g99 100 0.364848 2000 0.00257629
g31-g100 100 0.40404 2016 0.00196936
g31-g101 100 0.40404 2184 0.00549702
g31-g102 100 0.40404 2184 0.00732936
g31-g103 100 0.40404 2184 0.010994
g31-g104 100 0.40404 3300 0.00242351
g31-g105 100 0.40404 3317 0.00240636
g31-g106 100 0.40404 4493 0.00269916
g31-g107 100 0.40404 4494 0.00194378
g31-g108 100 0.40404 4866 0.00183162
g31-g109 100 0.40404 5040 0.00238142
g31-g110 100 0.40404 5448 0.00486668
g31-g111 100 0.40404 5757 0.00170623
g31-g112 100 0.40404 6671 0.00126449
g31-g51 100 0.40404 138 0.104306
g31-g52 100 0.40404 161 0.0552795
g31-g53 100 0.40404 168 0.11919
g31-g54 100 0.40404 256 0.0576593
g31-g55 100 0.40404 256 0.0589461
g31-g56 100 0.40404 256 0.0612745
g31-g57 100 0.40404 280 0.0031234
g31-g61 100 0.40404 331 0.0340566
g31-g62 100 0.40404 377 0.027146
g31-g63 100 0.40404 400 0.0716792
g31-g64 100 0.40404 400 0.249624
g31-g65 100 0.40404 435 0.0533927
g31-g67 100 0.40404 462 0.0260304
g31-g68 100 0.40404 462 0.130152
g31-g69 100 0.40404 500 0.0237114
g31-g70 100 0.40404 501 0.0120719
g31-g71 100 0.40404 501 0.0239042
g31-g72 100 0.40404 561 0.00187166
g31-g74 100 0.40404 585 0.0143777
g31-g75 100 0.40404 610 0.0800883
g31-g76 100 0.40404 610 0.381868
g31-g77 100 0.40404 610 0.888982
g31-g78 100 0.40404 627 0.0361272
g31-g79 100 0.40404 763 0.0130855
g31-g80 100 0.40404 891 0.00160406
g31-g81 100 0.40404 1010 0.0235269
g31-g83 100 0.40404 1024 0.0195503
g31-g84 100 0.40404 1024 0.234604
g31-g85 100 0.40404 1050 0.0057161
g31-g87 100 0.40404 1057 0.0127612
g31-g88 100 0.40404 1057 0.0144348
g31-g89 100 0.40404 1092 0.00733272
g31-g90 100 0.40404 1430 0.00979706
g31-g91 100 0.40404 1446 0.00605321
g31-g92 100 0.40404 1619 0.0053704
g31-g94 100 0.40404 1860 0.00646665
g31-g95 100 0.40404 2000 0.0013967
g31-g96 100 0.40404 2000 0.00165783
g31-g97 100 0.40404 2000 0.00168584
g31-g98 100 0.40404 2000 0.00257429
g31-g99 100 0.40404 2000 0.00257629
g32-g100 100 2 2016 0.00196936
g32-g101 100 2 2184 0.00549702
g32-g102 100 2 2184 0.00732936
g32-g103 100 2 2184 0.010994
g32-g104 100 2 3300 0.00242351
g32-g105 100 2 3317 0.00240636
g32-g106 100 2 4493 0.00269916
g32-g107 100 2 4494 0.00194378
g32-g108 100 2 4866 0.00183162
g32-g109 100 2 5040 0.00238142
g32-g110 100 2 5448 0.00486668
g32-g111 100 2 5757 0.00170623
g32-g112 100 2 6671 0.00126449
g32-g51 100 2 138 0.104306
g32-g52 100 2 161 0.0552795
g32-g53 100 2 168 0.11919
g32-g54 100 2 256 0.0576593
g32-g55 100 2 256 0.0589461
g32-g56 100 2 256 0.0612745
g32-g57 100 2 280 0.0031234
g32-g61 100 2 331 0.0340566
g32-g62 100 2 377 0.027146
g32-g63 100 2 400 0.0716792
g32-g64 100 2 400 0.249624
g32-g65 100 2 435 0.0533927
g32-g67 100 2 462 0.0260304
g32-g68 100 2 462 0.130152
g32-g69 100 2 500 0.0237114
g32-g70 100 2 501 0.0120719
g32-g71 100 2 501 0.0239042
g32-g72 100 2 561 0.00187166
g32-g74 100 2 585 0.0143777
g32-g75 100 2 610 0.0800883
g32-g76 100 2 610 0.381868
g32-g77 100 2 610 0.888982
g32-g78 100 2 627 0.0361272
g32-g79 100 2 763 0.0130855
g32-g80 100 2 891 0.00160406
g32-g81 100 2 1010 0.0235269
g32-g83 100 2 1024 0.0195503
g32-g84 100 2 1024 0.234604
g32-g85 100 2 1050 0.0057161
g32-g87 100 2 1057 0.0127612
g32-g88 100 2 1057 0.0144348
g32-g89 100 2 1092 0.00733272
g32-g90 100 2 1430 0.00979706
g32-g91 100 2 1446 0.00605321
g32-g92 100 2 1619 0.0053704
g32-g94 100 2 1860 0.00646665
g32-g95 100 2 2000 0.0013967
g32-g96 100 2 2000 0.00165783
g32-g97 100 2 2000 0.00168584
g32-g98 100 2 2000 0.00257429
g32-g99 100 2 2000 0.00257629
g33-g100 101 0.117624 2016 0.00196936
g33-g101 101 0.117624 2184 0.00549702
g33-g102 101 0.117624 2184 0.00732936
g33-g103 101 0.117624 2184 0.010994
g33-g104 101 0.117624 3300 0.00242351
g33-g105 101 0.117624 3317 0.00240636
g33-g106 101 0.117624 4493 0.00269916
g33-g107 101 0.117624 4494 0.00194378
g33-g108 101 0.117624 4866 0.00183162
g33-g109 101 0.117624 5040 0.00238142
g33-g110 101 0.117624 5448 0.00486668
g33-g111 101 0.117624 5757 0.00170623
g33-g112 101 0.117624 6671 0.00126449
g33-g51 101 0.117624 138 0.104306
g33-g52 101 0.117624 161 0.0552795
g33-g53 101 0.117624 168 0.11919
g33-g54 101 0.117624 256 0.0576593
g33-g55 101 0.117624 256 0.0589461
g33-g56 101 0.117624 256 0.0612745
g33-g57 101 0.117624 280 0.0031234
g33-g61 101 0.117624 331 0.0340566
g33-g62 101 0.117624 377 0.027146
g33-g63 101 0.117624 400 0.0716792
g33-g64 101 0.117624 400 0.249624
g33-g65 101 0.117624 435 0.0533927
g33-g67 101 0.117624 462 0.0260304
g33-g68 101 0.117624 462 0.130152
g33-g69 101 0.117624 500 0.0237114
g33-g70 101 0.117624 501 0.0120719
g33-g71 101 0.117624 501 0.0239042
g33-g72 101 0.117624 561 0.00187166
g33-g74 101 0.117624 585 0.0143777
g33-g75 101 0.117624 610 0.0800883
g33-g76 101 0.117624 610 0.381868
g33-g77 101 0.117624 610 0.888982
g33-g78 101 0.117624 627 0.0361272
g33-g79 101 0.117624 763 0.0130855
g33-g80 101 0.117624 891 0.00160406
g33-g81 101 0.117624 1010 0.0235269
g33-g83 101 0.117624 1024 0.0195503
g33-g84 101 0.117624 1024 0.234604
g33-g85 101 0.117624 1050 0.0057161
g33-g87 101 0.117624 1057 0.0127612
g33-g88 101 0.117624 1057 0.0144348
g33-g89 101 0.117624 1092 0.00733272
g33-g90 101 0.117624 1430 0.00979706
g33-g91 101 0.117624 1446 0.00605321
g33-g92 101 0.117624 1619 0.0053704
g33-g94 101 0.117624 1860 0.00646665
g33-g95 101 0.117624 2000 0.0013967
g33-g96 101 0.117624 2000 0.00165783
g33-g97 101 0.117624 2000 0.00168584
g33-g98 101 0.117624 2000 0.00257429
g33-g99 101 0.117624 2000 0.00257629
g34-g100 120 0.0672269 2016 0.00196936
g34-g101 120 0.0672269 2184 0.00549702
g34-g102 120 0.0672269 2184 0.00732936
g34-g103 120 0.0672269 2184 0.010994
g34-g104 120 0.0672269 3300 0.00242351
g34-g105 120 0.0672269 3317 0.00240636
g34-g106 120 0.0672269 4493 0.00269916
g34-g107 120 0.0672269 4494 0.00194378
g34-g108 120 0.0672269 4866 0.00183162
g34-g109 120 0.0672269 5040 0.00238142
g34-g110 120 0.0672269 5448 0.00486668
g34-g111 120 0.0672269 5757 0.00170623
g34-g112 120 0.0672269 6671 0.00126449
g34-g51 120 0.0672269 138 0.104306
g34-g52 120 0.0672269 161 0.0552795
g34-g53 120 0.0672269 168 0.11919
g34-g54 120 0.0672269 256 0.0576593
g34-g55 120 0.0672269 256 0.0589461
g34-g56 120 0.0672269 256 0.0612745
g34-g57 120 0.0672269 280 0.0031234
g34-g61 120 0.0672269 331 0.0340566
g34-g62 120 0.0672269 377 0.027146
g34-g63 120 0.0672269 400 0.0716792
g34-g64 120 0.0672269 400 0.249624
g34-g65 120 0.0672269 435 0.0533927
g34-g67 120 0.0672269 462 0.0260304
g34-g68 120 0.0672269 462 0.130152
g34-g69 120 0.0672269 500 0.0237114
g34-g70 120 0.0672269 501 0.0120719
g34-g71 120 0.0672269 501 0.0239042
g34-g72 120 0.0672269 561 0.00187166
g34-g74 120 0.0672269 585 0.0143777
g34-g75 120 0.0672269 610 0.0800883
g34-g76 120 0.0672269 610 0.381868
g34-g77 120 0.0672269 610 0.888982
g34-g78 120 0.0672269 627 0.0361272
g34-g79 120 0.0672269 763 0.0130855
g34-g80 120 0.0672269 891 0.00160406
g34-g81 120 0.0672269 1010 0.0235269
g34-g83 120 0.0672269 1024 0.0195503
g34-g84 120 0.0672269 1024 0.234604
g34-g85 120 0.0672269 1050 0.0057161
g34-g87 120 0.0672269 1057 0.0127612
g34-g88 120 0.0672269 1057 0.0144348
g34-g89 120 0.0672269 1092 0.00733272
g34-g90 120 0.0672269 1430 0.00979706
g34-g91 120 0.0672269 1446 0.00605321
g34-g92 120 0.0672269 1619 0.0053704
g34-g94 120 0.0672269 1860 0.00646665
g34-g95 120 0.0672269 2000 0.0013967
g34-g96 120 0.0672269 2000 0.00165783
g34-g97 120 0.0672269 2000 0.00168584
g34-g98 120 0.0672269 2000 0.00257429
g34-g99 120 0.0672269 2000 0.00257629
g35-g100 120 0.0887955 2016 0.00196936
g35-g101 120 0.0887955 2184 0.00549702
g35-g102 120 0.0887955 2184 0.00732936
g35-g103 120 0.0887955 2184 0.010994
g35-g104 120 0.0887955 3300 0.00242351
g35-g105 120 0.0887955 3317 0.00240636
g35-g106 120 0.0887955 4493 0.00269916
g35-g107 120 0.0887955 4494 0.00194378
g35-g108 120 0.0887955 4866 0.00183162
g35-g109 120 0.0887955 5040 0.00238142
g35-g110 120 0.0887955 5448 0.00486668
g35-g111 120 0.0887955 5757 0.00170623
g35-g112 120 0.0887955 6671 0.00126449
g35-g51 120 0.0887955 138 0.104306
g35-g52 120 0.0887955 161 0.0552795
g35-g53 120 0.0887955 168 0.11919
g35-g54 120 0.0887955 256 0.0576593
g35-g55 120 0.0887955 256 0.0589461
g35-g56 120 0.0887955 256 0.0612745
g35-g57 120 0.0887955 280 0.0031234
g35-g61 120 0.0887955 331 0.0340566
g35-g62 120 0.0887955 377 0.027146
g35-g63 120 0.0887955 400 0.0716792
g35-g64 120 0.0887955 400 0.249624
g35-g65 120 0.0887955 435 0.0533927
g35-g67 120 0.0887955 462 0.0260304
g35-g68 120 0.0887955 462 0.130152
g35-g69 120 0.0887955 500 0.0237114
g35-g70 120 0.0887955 501 0.0120719
g35-g71 120 0.0887955 501 0.0239042
g35-g72 120 0.0887955 561 0.00187166
g35-g74 120 0.0887955 585 0.0143777
g35-g75 120 0.0887955 610 0.0800883
g35-g76 120 0.0887955 610 0.381868
g35-g77 120 0.0887955 610 0.888982
g35-g78 120 0.0887955 627 0.0361272
g35-g79 120 0.0887955 763 0.0130855
g35-g80 120 0.0887955 891 0.00160406
g35-g81 120 0.0887955 1010 0.0235269
g35-g83 120 0.0887955 1024 0.0195503
g35-g84 120 0.0887955 1024 0.234604
g35-g85 120 0.0887955 1050 0.0057161
g35-g87 120 0.0887955 1057 0.0127612
g35-g88 120 0.0887955 1057 0.0144348
g35-g89 120 0.0887955 1092 0.00733272
g35-g90 120 0.0887955 1430 0.00979706
g35-g91 120 0.0887955 1446 0.00605321
g35-g92 120 0.0887955 1619 0.0053704
g35-g94 120 0.0887955 1860 0.00646665
g35-g95 120 0.0887955 2000 0.0013967
g35-g96 120 0.0887955 2000 0.00165783
g35-g97 120 0.0887955 2000 0.00168584
g35-g98 120 0.0887955 2000 0.00257429
g35-g99 120 0.0887955 2000 0.00257629
g36-g100 120 0.089916 2016 0.00196936
g36-g101 120 0.089916 2184 0.00549702
g36-g102 120 0.089916 2184 0.00732936
g36-g103 120 0.089916 2184 0.010994
g36-g104 120 0.089916 3300 0.00242351
g36-g105 120 0.089916 3317 0.00240636
g36-g106 120 0.089916 4493 0.00269916
g36-g107 120 0.089916 4494 0.00194378
g36-g108 120 0.089916 4866 0.00183162
g36-g109 120 0.089916 5040 0.00238142
g36-g110 120 0.089916 5448 0.00486668
g36-g111 120 0.089916 5757 0.00170623
g36-g112 120 0.089916 6671 0.00126449
g36-g51 120 0.089916 138 0.104306
g36-g52 120 0.089916 161 0.0552795
g36-g53 120 0.089916 168 0.11919
g36-g54 120 0.089916 256 0.0576593
g36-g55 120 0.089916 256 0.0589461
g36-g56 120 0.089916 256 0.0612745
g36-g57 120 0.089916 280 0.0031234
g36-g61 120 0.089916 331 0.0340566
g36-g62 120 0.089916 377 0.027146
g36-g63 120 0.089916 400 0.0716792
g36-g64 120 0.089916 400 0.249624
g36-g65 120 0.089916 435 0.0533927
g36-g67 120 0.089916 462 0.0260304
g36-g68 120 0.089916 462 0.130152
g36-g69 120 0.089916 500 0.0237114
g36-g70 120 0.089916 501 0.0120719
g36-g71 120 0.089916 501 0.0239042
g36-g72 120 0.089916 561 0.00187166
g36-g74 120 0.089916 585 0.0143777
g36-g75 120 0.089916 610 0.0800883
g36-g76 120 0.089916 610 0.381868
g36-g77 120 0.089916 610 0.888982
g36-g78 120 0.089916 627 0.0361272
g36-g79 120 0.089916 763 0.0130855
g36-g80 120 0.089916 891 0.00160406
g36-g81 120 0.089916 1010 0.0235269
g36-g83 120 0.089916 1024 0.0195503
g36-g84 120 0.089916 1024 0.234604
g36-g85 120 0.089916 1050 0.0057161
g36-g87 120 0.089916 1057 0.0127612
g36-g88 120 0.089916 1057 0.0144348
g36-g89 120 0.089916 1092 0.00733272
g36-g90 120 0.089916 1430 0.00979706
g36-g91 120 0.089916 1446 0.00605321
g36-g92 120 0.089916 1619 0.0053704
g36-g94 120 0.089916 1860 0.00646665
g36-g95 120 0.089916 2000 0.0013967
g36-g96 120 0.089916 2000 0.00165783
g36-g97 120 0.089916 2000 0.00168584
g36-g98 120 0.089916 2000 0.00257429
g36-g99 120 0.089916 2000 0.00257629
g37-g100 120 0.178711 2016 0.00196936
g37-g101 120 0.178711 2184 0.00549702
g37-g102 120 0.178711 2184 0.00732936
g37-g103 120 0.178711 2184 0.010994
g37-g104 120 0.178711 3300 0.00242351
g37-g105 120 0.178711 3317 0.00240636
g37-g106 120 0.178711 4493 0.00269916
g37-g107 120 0.178711 4494 0.00194378
g37-g108 120 0.178711 4866 0.00183162
g37-g109 120 0.178711 5040 0.00238142
g37-g110 120 0.178711 5448 0.00486668
g37-g111 120 0.178711 5757 0.00170623
g37-g112 120 0.178711 6671 0.00126449
g37-g51 120 0.178711 138 0.104306
g37-g52 120 0.178711 161 0.0552795
g37-g53 120 0.178711 168 0.11919
g37-g54 120 0.178711 256 0.0576593
g37-g55 120 0.178711 256 0.0589461
g37-g56 120 0.178711 256 0.0612745
g37-g57 120 0.178711 280 0.0031234
g37-g61 120 0.178711 331 0.0340566
g37-g62 120 0.178711 377 0.027146
g37-g63 120 0.178711 400 0.0716792
g37-g64 120 0.178711 400 0.249624
g37-g65 120 0.178711 435 0.0533927
g37-g67 120 0.178711 462 0.0260304
g37-g68 120 0.178711 462 0.130152
g37-g69 120 0.178711 500 0.0237114
g37-g70 120 0.178711 501 0.0120719
g37-g71 120 0.178711 501 0.0239042
g37-g72 120 0.178711 561 0.00187166
g37-g74 120 0.178711 585 0.0143777
g37-g75 120 0.178711 610 0.0800883
g37-g76 120 0.178711 610 0.381868
g37-g77 120 0.178711 610 0.888982
g37-g78 120 0.178711 627 0.0361272
g37-g79 120 0.178711 763 0.0130855
g37-g80 120 0.178711 891 0.00160406
g37-g81 120 0.178711 1010 0.0235269
g37-g83 120 0.178711 1024 0.0195503
g37-g84 120 0.178711 1024 0.234604
g37-g85 120 0.178711 1050 0.0057161
g37-g87 120 0.178711 1057 0.0127612
g37-g88 120 0.178711 1057 0.0144348
g37-g89 120 0.178711 1092 0.00733272
g37-g90 120 0.178711 1430 0.00979706
g37-g91 120 0.178711 1446 0.00605321
g37-g92 120 0.178711 1619 0.0053704
g37-g94 120 0.178711 1860 0.00646665
